100 1000
68 82 108
96 14 448
53 35 3121
97 58 877
53 60 2531
7 94 4992
65 32 576
63 64 2737
96 92 3812
25 76 2281
36 50 6291
92 2 6016
13 3 4899
93 26 5606
10 94 4716
36 73 2778
17 20 2988
16 9 3795
98 40 5818
31 95 3935
81 22 1793
12 67 5759
58 48 1296
26 90 3947
23 53 3164
77 35 4942
71 81 1445
28 45 1065
2 91 5763
16 25 3331
56 58 215
68 56 3099
35 30 1956
75 15 971
86 43 3910
42 44 2627
94 36 3997
81 22 923
85 39 5120
82 63 3566
54 42 4417
23 87 553
72 15 2735
58 63 3072
87 37 5573
7 76 6237
95 63 3150
19 90 1219
95 4 742
77 42 3737
35 47 5101
70 23 5543
18 4 4074
69 55 1213
25 28 3904
73 72 112
39 77 1768
41 22 967
16 69 2823
72 34 2000
85 72 5896
49 88 627
23 8 5468
70 88 2821
15 67 1033
17 24 4318
18 53 6079
93 87 4753
81 29 5959
66 34 3870
87 54 4993
95 81 940
73 20 3944
74 99 5655
41 94 5539
57 15 5265
65 14 2607
47 9 5777
84 66 3732
2 34 375
6 35 2190
34 90 1274
1 29 2419
12 17 5314
100 55 996
19 11 4036
65 57 119
47 39 4140
70 92 3347
19 20 5399
78 59 539
31 97 2514
4 30 2202
43 26 3745
2 53 6106
49 95 2091
68 5 1559
5 6 2203
55 45 1126
18 91 2156
40 16 623
83 69 2621
71 29 45
23 73 2517
64 24 791
8 35 4011
60 61 3610
100 48 2114
64 85 2120
81 64 4797
33 29 4496
37 34 5404
8 96 1551
56 78 5516
8 90 5134
11 5 91
50 22 5959
75 79 3988
59 43 2437
56 66 3096
26 52 3628
57 45 4451
53 24 2638
8 13 3650
60 6 1045
96 6 5435
54 71 2043
96 62 2534
79 86 1603
86 98 4110
37 14 581
56 32 3391
86 98 4212
2 28 5614
77 47 4326
31 59 1149
40 16 2174
60 3 4594
35 99 3612
56 42 2226
63 54 2248
100 46 1759
65 69 543
20 72 2363
8 2 3794
25 62 1235
29 50 2729
10 93 1836
50 64 576
25 96 2515
42 96 5307
1 50 4242
37 50 3204
100 52 1429
48 56 3343
50 82 141
57 27 2590
12 42 2383
5 9 4552
59 77 1579
18 40 2068
17 84 2961
98 48 3332
66 22 2088
27 99 4318
16 81 5381
88 63 5803
80 4 4074
49 4 3927
42 59 114
44 71 2996
46 98 5467
19 38 4639
39 43 5713
5 18 4904
76 35 3039
94 70 1372
61 66 691
64 28 3029
90 41 6025
46 99 3819
36 13 227
54 10 3194
63 24 2333
87 8 518
98 19 2579
50 2 321
82 64 2059
66 26 2996
41 47 4283
34 78 3734
52 19 3685
96 84 110
10 81 538
83 51 2172
65 45 2907
30 20 217
9 72 1390
5 82 6134
5 4 200
49 74 6233
59 93 3239
53 34 6324
58 71 2127
52 86 5836
33 83 3255
80 81 3754
4 55 4772
54 10 6159
68 10 281
83 73 5797
83 31 1604
5 70 4187
30 91 2684
11 98 2534
49 51 4859
47 1 4119
31 25 3635
57 73 4105
84 44 5218
63 34 1718
46 24 2327
51 14 2280
97 54 2664
26 66 4880
47 35 1488
12 57 798
98 60 2235
93 37 4059
99 33 4246
56 11 1701
42 19 999
83 55 3423
47 66 5663
52 58 4126
18 40 6391
96 78 6149
76 31 2050
42 72 4291
51 74 771
76 47 3574
52 60 6139
32 53 3211
36 35 4774
39 73 3955
74 85 1546
2 26 3800
98 67 5970
88 15 76
93 57 5675
26 58 5792
100 45 3611
23 25 2376
73 82 692
58 21 2414
92 48 3521
93 82 5669
6 62 3943
26 86 6130
19 31 1651
67 84 4070
29 97 1422
71 62 5864
92 39 5253
93 19 3273
96 12 6266
98 78 4297
5 30 2614
37 8 2115
15 99 6351
